cricsheet_id,cricinfo_id,name,full_name,country,dob,batting_style,bowling_style,playing_role
1fc327e3,781123,,AM Eissa Jassim,Kuwait,5566.0,,,
83b8fa73,1246200,,AM Ewart,New Zealand,,,,
9ca68676,1326798,AM Ghazanfar,AM Ghazanfar,Afghanistan,13227.0,Right-hand bat,Right-arm offbreak,
0d90c81c,995151,,AM Smith,England,,,,
8a00eec1,1159150,,AN Hyobeom,South Korea,8845.0,Right hand Bat,Right arm Offbreak,
e3434f95,648439,,Aadil Masud Ali,England,9128.0,Right hand Bat,Right arm Offbreak,
e6ec6b42,1444109,Aaditya Varadarajan,Aaditya Varadarajan,Canada,7874.0,Left-hand bat,Right-arm medium,
9dbc77b3,1269467,,Aaftab Alam Khan,Malta,5874.0,Right hand Bat,Right arm Medium fast,Wicketkeeper Batter
2bcbcac3,1334805,,Aaftab Limdawala,Malawi,,,,
797f52cc,1048889,,Aahan Gopinath Achar,Singapore,10680.0,Left hand Bat,Slow Left arm Orthodox,Bowler
02f4b99c,474782,,Aakarshit Praveenchand Gomel,India,8737.0,Right hand Bat,Slow Left arm Orthodox,
279c51f0,1185557,Aakash Chand,Aakash Chand,Nepal,12770.0,Right-hand bat,Right-arm medium,
e249fdaa,27639,,Aakash Chopra,India,2818.0,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
cbba9e4e,1290593,Aakash Tripathi,Aakash Tripathi,Nepal,13036.0,Right-hand bat,Right-arm offbreak,
b6f61482,1213656,,Aakriti Bose,Kuwait,12738.0,Right hand Bat,,
4b0e3049,661441,,Aaliyah Alicia Alleyne,West Indies,9080.0,Right hand Bat,Right arm Medium,Bowler
f1733e13,1325401,,Aaliyah Williams,West Indies,10285.0,Right hand Bat,Right arm Medium,Allrounder
935678ee,1248374,,Aamer Azmat,Pakistan,11287.0,Right hand Bat,Right arm Offbreak,
161641cd,1204633,,Aamer Ikram,Portugal,3474.0,,,
a8e54ef4,793441,,Aamer Jamal,Pakistan,9682.0,Right hand Bat,Right arm Medium,Allrounder
97ef55d6,38965,,Aamer Malik,Pakistan,-2555.0,Right hand Bat,Right arm Fast medium,Wicketkeeper Batter
7f8a923e,38966,,Aamer Nazir,Pakistan,366.0,Right hand Bat,Right arm Fast medium,
907d6e58,434429,,Aamer Yamin,Pakistan,7481.0,Right hand Bat,Right arm Medium,Allrounder
2c3afa34,642543,,Aamir Abdul Gani,India,9735.0,Right hand Bat,Right arm Offbreak,
f49989eb,589136,,Aamir Aziz Sofi,India,7528.0,Right hand Bat,Slow Left arm Orthodox,
f5e5f1c7,520126,,Aamir Iqbal,Belgium,315.0,Left hand Bat,Slow Left arm Orthodox,
66f9ecc2,530197,,Aamir Javed,Kuwait,7102.0,Right hand Bat,Right arm Medium,
2472ad2c,1338631,,Aamir Lal,South Korea,7526.0,Right hand Bat,Right arm Offbreak,
528a37ce,1263721,,Aanand Pandey,Luxembourg,8693.0,Right hand Bat,Right arm Medium,
a95a9620,38970,,Aaqib Javed,Pakistan,947.0,Right hand Bat,Right arm Fast medium,Bowler
d290c5b5,1207680,,Aaqib Khan,India,12411.0,Right hand Bat,Right arm Medium,
bdac9f0f,1171735,,Aarati Bidari,Nepal,8060.0,Right hand Bat,Legbreak,
cd4d7695,701217,,Aarif Sheikh,Nepal,10138.0,Right hand Bat,Right arm Medium,Top order Batter
b66201dd,1425319,Aarnav Patel,Aarnav Patel,Kenya,13153.0,Right-hand bat,Legbreak,
a09eb585,333639,,Aaron Ayre,Australia,8253.0,Left hand Bat,,
de8341fd,1269257,,Aaron Campbell,England,,,,
ed282cc2,1112205,,Aaron Cawley,Ireland,10879.0,Right hand Bat,Right arm Fast medium,Bowler
0c5bb005,739603,,Aaron Dean Thomason,England,10038.0,Right hand Bat,Right arm Fast medium,Allrounder
068d27fe,1111992,,Aaron Heywood,Ireland,,,,
b8d490fd,5334,,Aaron James Finch,Australia,6164.0,Right hand Bat,Slow Left arm Orthodox,Top order Batter
48f177f5,38264,,Aaron James Redmond,New Zealand,3552.0,Right hand Bat,Legbreak,Top order Batter
a28a7fba,1323683,,Aaron Johnson,Canada,,Right hand Bat,Right arm Offbreak,
17aa4f1d,957645,,Aaron Jones,United States of America,9057.0,Right hand Bat,Legbreak Googly,Top order Batter
78ba5d1b,5966,,Aaron Keith Heal,Australia,4819.0,Left hand Bat,Slow Left arm Orthodox,Bowler
93f72fdc,1159658,,Aaron Kenrick Muslar,Belize,9767.0,Right hand Bat,Right arm Medium,Wicketkeeper
d405c0d5,1124283,,Aaron Mark Hardie,Australia,10598.0,Right hand Bat,Right arm Medium fast,Allrounder
7f8ecc51,46942,,Aaron Mpho Phangiso,South Africa,5133.0,Right hand Bat,Slow Left arm Orthodox,Bowler
eab74985,894103,,Aaron Paul Beard,England,10149.0,Left hand Bat,Right arm Fast medium,Bowler
8b054bba,526446,,Aaron Paul Gillespie,Ireland,9933.0,Right hand Bat,,
d29be810,7025,,Aaron Warren O'Brien,Australia,4292.0,Left hand Bat,Slow Left arm Orthodox,
34faa567,16201,,Aaron William Laraman,England,3296.0,Right hand Bat,Right arm Fast medium,
a35c119e,1124289,,Aaron William Summers,Australia,9640.0,Right hand Bat,Right arm Fast,
e1a1b6c4,1466127,Aarsheya Sharma,Aarsheya Sharma,Singapore,14350.0,Right-hand bat,Legbreak,
ec11ad0b,684055,Aarti Priya,Aarti Priya,Luxembourg,4800.0,Right-hand bat,Right-arm medium,
906ef9e5,1134974,,Aarush Bhagwat,Hong Kong,12307.0,Right hand Bat,,Wicketkeeper
8053c798,1353014,Aarya Desai,Aarya Desai,India,12145.0,Left-hand bat,Right-arm offbreak,
62479b4b,1089774,,Aaryan Amin Premji,Tanzania,11115.0,,,
4edfc785,1337302,,Aaryan Modi,Singapore,13075.0,Right hand Bat,,
b94827f0,1337298,Aaryan Menon,Aaryan Russell Menon,Singapore,12793.0,Right-hand bat,Right-arm medium-fast,
ec8773c8,30030,,Aashish Rakesh Kapoor,India,448.0,Right hand Bat,Right arm Offbreak,
42c41e1a,1141874,,Aasif Iqbal,United Arab Emirates,4376.0,,,
dcbea954,1058514,,Aasif Sheikh,Nepal,11495.0,Right hand Bat,,Top order Batter
74d92a39,24699,,Aasif Yusuf Karim,Kenya,-2209.0,Right hand Bat,Slow Left arm Orthodox,Bowler
260fd380,34264,,Aavishkar Madhav Salvi,India,4310.0,Right hand Bat,Right arm Medium,Bowler
d2d15439,1241265,,Aayan Afzal Khan,United Arab Emirates,13102.0,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
6366c83b,1292517,Aayush Thakur,Aayush Singh Thakur,India,12014.0,Right-hand bat,Right-arm medium-fast,
1c074e93,1395399,Abahle Nyirenda,Abahle Nyirenda,Eswatini,13818.0,Right-hand bat,Right-arm offbreak,
ac1b155e,217940,,Abali Hoilett,Cayman Islands,4863.0,Right hand Bat,Right arm Offbreak,Middle order Batter
34ab1e6e,516372,,Abass Gbla,Sierra Leone,10149.0,Right hand Bat,Right arm Medium,
41ce15da,26817,,Abbas Ali Baig,India,-11246.0,Right hand Bat,Legbreak,
a8f91f78,1390687,,Abbas Ghani,Hungary,11277.0,Right hand Bat,Right arm Medium,
c3e77f52,362682,,Abbas Saad Abdullah Alnadwi,Saudi Arabia,5995.0,Right hand Bat,Legbreak Googly,
25c73eb6,306201,,Abbi Aitken-Drummond,Scotland,7770.0,Right hand Bat,Right arm Medium,
993d93ec,1197240,,Abbie Hogg,Scotland,11921.0,Left hand Bat,Slow Left arm Orthodox,
53254b52,1470487,Abby Treder,Abby Elizabeth Treder,New Zealand,13176.0,Right-hand bat,Right-arm medium,
a8e87c2a,54530,,Abby Kirstyn Burrows,New Zealand,2585.0,Left hand Bat,Right arm Medium,
dfdd7b97,522222,,Abdalah Lubega,Uganda,9842.0,Right hand Bat,Right arm Offbreak,
90624d37,1155556,,Abdallah Juma Jabiri,Tanzania,12111.0,Right hand Bat,,
01fa12c1,1311472,,Abdallah Mohammed Jimia,Uganda,13779.0,Right hand Bat,,
89c62cf5,559575,,Abdoellah Steenkamp,South Africa,1757.0,,,
513158ed,23826,,Abdool Mudassar Samad,Canada,3409.0,Right hand Bat,Right arm Offbreak,Allrounder
6d9d2de7,1286505,,Abdoulaye Nono Aminou,Cameroon,9359.0,Right hand Bat,,
47c449c5,550189,,Abdu Dayyaan Galiem,South Africa,9863.0,Right hand Bat,Right arm Medium fast,Bowling Allrounder
9dba7a41,1463541,Abdul Bhikari,Abdul Anwar Hoessein Bhikari,Suriname,9197.0,Left-hand bat,Left-arm medium,
b6af1647,1380794,,Abdul Bashir Andar,Germany,10378.0,Right hand Bat,Right arm Medium,
8548e6ce,1287055,,Abdul Ela Al Quraishi,India,10197.0,Left hand Bat,Right arm Offbreak,
ca4db40e,52995,,Abdul Fazil Sattaur,West Indies,-1731.0,Right hand Bat,,
b8201752,41030,,Abdul Hafeez Kardar,Pakistan,-16420.0,Left hand Bat,Slow Left arm Orthodox,
705a05c8,804055,,Abdul Halim,Bangladesh,10532.0,Right hand Bat,Right arm Medium,
608e1581,55915,,Abdul Hannan Sarkar,Bangladesh,4717.0,Right hand Bat,Right arm Medium,Opening Batter
10d94c90,447456,,Abdul Haq,United Arab Emirates,4203.0,Right hand Bat,Right arm Fast,
402893d6,1458660,Haseeb Khan,Abdul Haseeb Khan,Italy,8776.0,Left-arm medium,,
dc9d2e3c,633673,,Abdul Jabar,Kuwait,,,,
3f4b9ae5,313526,,Abdul Jabbar Chaudrey,Canada,4807.0,Right hand Bat,Right arm Medium,Batter
2c29b16e,1101940,,Abdul Jalali Wakil,Sweden,,,,
8014976b,580721,,Abdul Jalali Wakil,Sweden,7009.0,Right hand Bat,Right arm Medium fast,
8f21593d,38971,,Abdul Kadir,Pakistan,-9367.0,Right hand Bat,,
0cfb42b5,710767,Abdul Majid,Abdul Majid Abbasi,Bahrain,8650.0,Left-hand bat,Slow left-arm orthodox,
384cebed,1217275,,Abdul Majid Malik,Bahrain,8078.0,Left hand Bat,Slow Left arm Orthodox,
b3218c80,1059030,,Abdul Malik,Afghanistan,10296.0,Right hand Bat,Right arm Offbreak,Opening Batter
353e92b3,1156247,,Abdul Manan,Cyprus,5332.0,Right hand Bat,Right arm Medium,
d0b643e1,1369884,Manan Ali,Abdul Manan Ali,Saudi Arabia,10072.0,Right-hand bat,Right-arm offbreak,
515296bd,331148,,Abdul Mohammad Firdaus Tan Kim Hing,Malaysia,-4086.0,Right hand Bat,Slow Left arm Orthodox,
e1ac7789,594394,Abdul Muqeet,Abdul Muqeet,Pakistan,7550.0,Right-hand bat,Right-arm medium,
37cb317b,1060304,Abdul Muqeet,Abdul Muqeet,Pakistan,,,,
db07c3e8,39370,,Abdul Nabi,Pakistan,,,,
6a88d66d,1318851,,Abdul Naser Baluch,Sweden,10903.0,Right hand Bat,Left arm Medium,
494a0503,1216919,,Abdul Nasir,Pakistan,10585.0,Right hand Bat,Right arm Offbreak,Allrounder
05c3780a,39014,,Abdul Nasir,Pakistan,5096.0,Right hand Bat,Right arm Medium,
35824e03,402205,,Abdul Qadir,Saudi Arabia,,,,
0b1dadd2,38973,,Abdul Qadir Khan,Pakistan,-5222.0,Right hand Bat,Legbreak Googly,Bowler
15cbeb9c,25992,,Abdul Rahim Mohammad Shukri,Malaysia,6122.0,Right hand Bat,Right arm Offbreak,
12f53be7,1048915,,Abdul Rahman Bhadelia,Singapore,11107.0,Right hand Bat,,Batter
61ff1d99,750885,,Abdul Rahman Liaqat Ali,Kuwait,,,,
5fd762d5,819507,,Abdul Rahman Rahmani,Afghanistan,11648.0,Right hand Bat,Right arm Fast medium,Bowler
1f7f4da9,328084,,Abdul Rashid Ahad,Malaysia,7383.0,Right hand Bat,Legbreak,
6eb2fb00,1156424,,Abdul Rashid Karim Dostikhel,Belgium,7856.0,Right hand Bat,,
390ff45b,39836,,Abdul Razzaq,Pakistan,3622.0,Right hand Bat,Right arm Fast medium,Allrounder
505371c8,25580,,Abdul Rehman,United Arab Emirates,6210.0,Right hand Bat,,Middle order Batter
03355ca8,520131,,Abdul Rehman,Belgium,902.0,Right hand Bat,Right arm Medium,
365df3f9,913865,,Abdul Sadiq,Kuwait,11962.0,Right hand Bat,Legbreak,
ff2dd5e4,1213774,Abdul Salam,Abdul Salam MS,Qatar,-113.0,,,
21dbacff,1431566,Abdul Samad,Abdul Samad,Japan,8780.0,Right-hand bat,Slow left-arm orthodox,
8e514b4c,1175485,,Abdul Samad Farooq,India,11623.0,Right hand Bat,Legbreak,Batter
5f91b34e,1318791,,Abdul Samad Stanikzai,Germany,11861.0,Right hand Bat,,
d52b13a6,1198937,,Abdul Shakoor,Romania,8494.0,Right hand Bat,Right arm Medium fast,
73b1db79,1062588,,Abdul Wahab Hashmi,Denmark,10108.0,Right hand Bat,,Wicketkeeper
23fa9ea9,402106,,Abdul Waheed,Saudi Arabia,8741.0,Right hand Bat,Right arm Offbreak,
40aea524,1172281,,Abdul Wahid,Saudi Arabia,5844.0,Right hand Bat,Right arm Medium,
0251a22f,1199393,,Abdul Wahid Bangalzai,Pakistan,12115.0,Right hand Bat,,Batter
be7d715b,974173,,Abdul Wasi Noori,Afghanistan,11874.0,Right hand Bat,Legbreak,Allrounder
e45810ed,1156489,,Abdul-Shakoor Rahimzei,Germany,10669.0,Right hand Bat,Right arm Offbreak,
6ef9a32f,1287102,Abdulla Bhoola,Abdulla Afal Bhoola,Panama,9882.0,Right-hand bat,,
5de198db,1198877,,Abdullah Akbarjan,Austria,7305.0,Left hand Bat,Slow Left arm Orthodox,
3731735d,437037,,Abdullah Akhunzada,Kuwait,3729.0,Right hand Bat,Legbreak,
26ccdb37,56264,,Abdullah Al Mamun,Bangladesh,5526.0,Right hand Bat,Right arm Medium fast,
ea36b0ee,1277007,,Abdullah Al Mamun,Bangladesh,12381.0,Left hand Bat,Right arm Medium,Allrounder
8ab49ad2,1337353,,Abdullah Bayoumy,South Africa,,Right hand Bat,Right arm Fast medium,Allrounder
5a42db78,1159860,,Abdullah Bham Jasat,Panama,8963.0,Right hand Bat,Left arm Medium,
7d42816e,1093659,,Abdullah Hussain Ghulam,Kuwait,,,,
6d8b7ac4,1437349,Abdullah Khan Lodhi,Abdullah Khan Lodhi,Turkey,8567.0,Right-hand bat,,
4846ef98,390752,,Abdullah Mazari,Afghanistan,6209.0,Left hand Bat,Slow Left arm Orthodox,Bowler
bc7d10b8,1059782,,Abdullah Nooran Syed,United States of America,7212.0,Right hand Bat,Right arm Offbreak,
fc2fffb5,922941,,Abdullah Shafique,Pakistan,10915.0,Right hand Bat,Right arm Offbreak,Top order Batter
926c6d3c,1112200,,Abdullah Shaheen Mahmood,Denmark,11820.0,Right hand Bat,Right arm Offbreak,
71686118,386982,,Abdullah Shahid,Maldives,1615.0,,Right arm Medium fast,
336a85f6,1156435,,Abdullah Sheikh,Norway,10374.0,Right hand Bat,Legbreak,Allrounder
508fbec9,749497,,Abdullah Zahid Qureshi,Saudi Arabia,,,,
f9607922,44049,,Abdullatief Barnes,South Africa,-10474.0,Right hand Bat,Right arm Offbreak,
e3fbe553,1271987,,Abdulmalik Jabarkhel,France,12167.0,Right hand Bat,,
df2dde61,781107,,Abdulrahman Dashti,Kuwait,5210.0,Right hand Bat,,
edaae5f4,335850,,Abdur Rahman Sudais,Sweden,,,,
43b375d4,39084,,Abdur Rauf Khan,Pakistan,3264.0,Right hand Bat,Right arm Fast medium,Bowler
888e32bf,56283,,Abdur Razzak,Bangladesh,4548.0,Left hand Bat,Slow Left arm Orthodox,Bowler
d094e7d1,39091,,Abdur Rehman,Pakistan,3712.0,Left hand Bat,Slow Left arm Orthodox,Bowler
60ef3ddb,1280685,,Abduramani Akida Hussein,Tanzania,12084.0,Right hand Bat,Left arm Medium fast,
4c3bd588,43041,,Abdus Sami Faridi,Canada,4997.0,Right hand Bat,Left arm Wrist spin,Batter
8067b378,1306445,,Abeer Maryam,Saudi Arabia,13010.0,Right hand Bat,Right arm Medium fast,
01396dc6,1306410,,Abeera Waris,Bahrain,8178.0,Right hand Bat,Right arm Medium fast,
80190078,1326685,,Abelina Antonio Moiane,Mozambique,12945.0,Right hand Bat,,
c7a9a971,30182,,Abey Kuruvilla,India,-515.0,Right hand Bat,Right arm Fast medium,Bowler
3e8008eb,272814,,Abeywickrema Pathiranage Sanduni Lakshika,Sri Lanka,4728.0,Right hand Bat,Right arm Offbreak,
481dd6dc,1159789,,Abhay Negi,India,8326.0,Right hand Bat,Right arm Medium,
a518b6c9,1395402,Abhigyan Kundu,Abhigyan Abhishek Kundu,India,13999.0,Left-hand bat,,
b91083bd,1204125,,Abhijeet Deepak Ahuja,Hungary,6224.0,Right hand Bat,Right arm Medium,
5fd3f9db,1163686,,Abhijeet Saket,India,9345.0,Right hand Bat,Right arm Medium,
aa5d8c9e,1081183,,Abhijeet Tomar,India,9203.0,Right hand Bat,Right arm Offbreak,Opening Batter
44e58b5b,680363,,Abhijit Ajit Chakraborty,India,7741.0,Right hand Bat,Slow Left arm Orthodox,
59ec9638,733337,,Abhijit Bhattacharya,India,,,,
6fda55cc,412593,,Abhijit Deshmukh,India,357.0,,,
92cadfe2,625406,,Abhijit Kinkar Sarkar,India,9850.0,Right hand Bat,Right arm Medium,
79194080,391168,,Abhijit Sanjay Karambelkar,India,7824.0,Right hand Bat,Right arm Medium,
ef131544,425955,,Abhijit Singha Roy,India,6259.0,Left hand Bat,,
c109497d,527897,,Abhijit Uday Kumar Bengeri,India,5411.0,,,
1cf92a70,29998,,Abhijit Vasant Kale,India,1279.0,Right hand Bat,Right arm Offbreak,
06b45b20,1101939,,Abhijit Venkatesh,Sweden,7303.0,Right hand Bat,Right arm Medium,
4e11e004,31320,,Abhik Kumar Mitra,India,-4373.0,Right hand Bat,Right arm Offbreak,
b43f7a6a,296167,,Abhik Ramesh Patwa,Tanzania,6244.0,Right hand Bat,Right arm Offbreak,Top order Batter
ab922bd0,1206031,,Abhilash Anuj Gogoi,India,9409.0,Right hand Bat,,Bowler
56fd4f68,425937,,Abhilash Mallick,India,7994.0,Right hand Bat,Slow Left arm Orthodox,
e48f748b,1454413,Abhilash Patil,Abhilash Patil,Mexico,7097.0,Right-hand bat,,
89b748cf,1275232,,Abhilasha Singh,Sweden,8772.0,Right hand Bat,Right arm Offbreak,
66cf56a5,310958,,Abhimanyu Mithun,India,7237.0,Right hand Bat,Right arm Medium,Bowler
e5ba297b,233237,,Abhimanyu Rajp,United States of America,5910.0,Right hand Bat,Right arm Offbreak,
c224c5ef,425913,,Abhimanyu Rana,India,7933.0,Left hand Bat,Slow Left arm Orthodox,
e941cd33,642533,,Abhimanyu Randhirsingh Lamba,India,9434.0,Right hand Bat,Right arm Medium,Bowler
10b58586,699491,,Abhimanyu Ranganathan Parmashwaran Easwaran,India,9379.0,Right hand Bat,Legbreak Googly,Top order Batter
539d9b74,232307,,Abhimanyu Ravindra Pal Singh Chauhan,India,6115.0,Right hand Bat,Right arm Medium fast,
c1d3515b,1201537,,Abhimanyusingh Vikramsingh Rajput,India,10355.0,Right hand Bat,Right arm Medium fast,
0890552f,778963,,Abhinav Manohar,India,9024.0,Right hand Bat,Legbreak Googly,Batting Allrounder
f1a7f596,1163697,,Abhinav Mayanak Dixit,India,7912.0,Right hand Bat,Right arm Offbreak,
6165bca6,302582,,Abhinav Mukund,India,7310.0,Left hand Bat,Legbreak Googly,Top order Batter
0cb292b1,973797,,Abhinav Raman,Singapore,,,,
2eca546a,1287016,,Abhinav Srivastava,India,11686.0,Right hand Bat,Right arm Medium fast,
edf3773b,402096,,Abhiraj Rajdeep Singh,Singapore,9277.0,Left hand Bat,Slow Left arm Orthodox,
f4cd319e,625374,,Abhishek Amalendubikash Das,India,7551.0,Right hand Bat,Right arm Offbreak,
2815fe50,29702,,Abhishek Arunkumar Jhunjhunwala,India,4717.0,Right hand Bat,Right arm Offbreak,Batter
96f5b685,1276396,,Abhishek Ashish Paradkar,United States of America,11269.0,Left hand Bat,Left arm Medium,
c8ded7bc,714479,,Abhishek Baljeetsingh Tanwar,India,7959.0,Right hand Bat,Right arm Medium,Allrounder
65cf74b4,1204126,,Abhishek Deepak Ahuja,Hungary,5697.0,Right hand Bat,Right arm Offbreak,
53c5c146,1081436,,Abhishek Goswami,India,10171.0,Right hand Bat,Right arm Offbreak,Opening Batter
22a2a635,801929,,Abhishek Gupta,India,7577.0,Right hand Bat,,
16d029ec,1175963,,Abhishek J Kaushik,India,8900.0,Right hand Bat,,
8bf38500,1246444,,Abhishek Krishna Deo Pandey,India,10875.0,Right hand Bat,,
8360c9b9,777743,,Abhishek Manik Reddy,India,9022.0,Right hand Bat,Right arm Offbreak,
cdc4604c,554159,,Abhishek Mohan,India,8384.0,Left hand Bat,Right arm Medium,
a45a5e8d,32091,,Abhishek Mohan Nayar,India,5028.0,Left hand Bat,Right arm Medium,Allrounder
ff9c2522,1126196,,Abhishek Munna Thakuri,India,10530.0,Left hand Bat,,
18953b31,1175432,,Abhishek Omprakash Bhandari,India,9070.0,Right hand Bat,,
6e0d8de5,1204020,,Abhishek Raj Chauhan,Iceland,7535.0,Left hand Bat,Left arm Medium,
43d1ee59,1069497,,Abhishek Raman,India,8649.0,Left hand Bat,Right arm Offbreak,
a92a9292,339958,,Abhishek Sakuja,India,6356.0,Left hand Bat,Slow Left arm Orthodox,
c69a7b5c,230593,,Abhishek Santosh Raut,India,6270.0,Right hand Bat,Legbreak Googly,Allrounder
f29185a1,1070183,,Abhishek Sharma,India,11204.0,Left hand Bat,Slow Left arm Orthodox,Allrounder
bca46fdb,955087,,Abhishek Yadav,India,9289.0,Left hand Bat,,
0baa5518,1463601,Abhishesh Gautam,Abhishesh Gautam,Nepal,,,,
b18dbaff,1380785,,Abhitesh Prashar,Hungary,8950.0,Left hand Bat,Right arm Medium,
66af8109,1059569,,Abhuday Kant Singh,India,7212.0,Right hand Bat,Right arm Medium,Bowler
c9439c2e,1184162,,Abi Norgrove,England,,,,
5d836a72,39950,,Abid Ali,Pakistan,6497.0,Right hand Bat,Legbreak,Opening Batter
f9979b69,484045,,Abid Mushtaq Chaudhry,Kuwait,4571.0,Right hand Bat,,
b10e8c85,1201536,,Abid Mushtaq Mangnoo,India,9878.0,Left hand Bat,Slow Left arm Orthodox,
5f35329d,1361961,Abid Ullah Shah,Abid Ullah Halim A Shah,Bahrain,12159.0,Right-hand bat,Right-arm medium,
d8256633,512628,,Abidine Sakande,England,9030.0,Right hand Bat,Right arm Fast medium,
9da0d1e5,1148093,,Abigail Glen,England,,Right hand Bat,Right arm Medium,
32c6f715,1351919,,Abigail Grace Hotton,New Zealand,12771.0,Right hand Bat,Right arm Offbreak,Bowler
8e75f2c7,1172334,,Abigail Igbobie,Nigeria,11827.0,Right hand Bat,,Wicketkeeper Batter
c6da6ebf,914651,,Abigail Johanna Freeborn,England,9812.0,Right hand Bat,,Allrounder
04566326,54564,,Abigail Samantha Maria Kitchin,New Zealand,4186.0,Right hand Bat,Right arm Offbreak,
a7fcf627,1252498,,Abigale Grace Gerken,New Zealand,11819.0,Right hand Bat,Right arm Medium,
6dd34184,1273852,,Abin Mathew,India,10170.0,Right hand Bat,Right arm Medium fast,
64fb6b15,1058508,,Abinash Bohara,Nepal,10072.0,Right hand Bat,Right arm Medium,Bowler
51e0e79f,1013219,,Abiodun Stephen Abioye,Nigeria,8360.0,Right hand Bat,Right arm Medium,Bowler
f74b682b,629405,,Abiola Joshua Ayannaike,Nigeria,8530.0,Right hand Bat,,Wicketkeeper Batter
2deb4082,1204131,,Abishek Kheterpal Raj,Hungary,4193.0,Right hand Bat,Right arm Medium,
ad3b6e95,1277545,,Abishek Porel,India,11977.0,Left hand Bat,,Wicketkeeper Batter
429c3c3d,631262,,Abishek Ramesh,Oman,9777.0,Right hand Bat,Right arm Offbreak,
cc6850ec,47494,,Abongile Mzimkhulu Sodumo,South Africa,4549.0,Right hand Bat,,
14ea3348,1321182,,Abraham Amado,Israel,8918.0,Right hand Bat,Right arm Medium,
c4487b84,44936,,Abraham Benjamin de Villiers,South Africa,5160.0,Right hand Bat,Right arm Medium,Wicketkeeper Batter
647a48da,328160,,Abraham Jacobus Pienaar,South Africa,7285.0,Right hand Bat,Slow Left arm Orthodox,
93b259ce,22251,,Abraham Waddington,England,-28089.0,Right hand Bat,Left arm Fast medium,
83ea85f6,221453,,Abram Lepono Ndhlovu,South Africa,5899.0,Right hand Bat,Right arm Offbreak,Wicketkeeper
abb7c76c,734459,,Abrar Ahmed,Pakistan,10515.0,Right hand Bat,Legbreak Googly,Bowler
16605a1b,422106,,Abrar Anjum Kazi,India,7211.0,Left hand Bat,Slow Left arm Orthodox,Bowler
6ddaee2d,1198872,,Abrar Bilal,Austria,5589.0,Right hand Bat,,
91cf746e,1283168,,Absar Bakht Khan,Denmark,5886.0,Right hand Bat,Right arm Medium,
f61e2829,934494,,Abtaha Mahin Maqsood,Scotland,10753.0,Right hand Bat,Legbreak,Bowler
3951be49,346552,,Abu Bakarr Kamara,Sierra Leone,7636.0,Right hand Bat,Right arm Fast medium,
31803fac,550137,,Abu Hider Rony,Bangladesh,9540.0,Right hand Bat,Left arm Fast medium,Bowler
1bb0993e,410763,,Abu Jayed Chowdhury,Bangladesh,8614.0,Right hand Bat,Right arm Fast medium,Bowler
2af1b6d2,228430,,Abu Nechim Ahmed,India,6883.0,Right hand Bat,Right arm Medium fast,Bowler
27f77bd6,271996,,Abu Zar,Sweden,5947.0,Left hand Bat,Right arm Offbreak,
0ec45a9a,1143150,,Abubacarr Kuyateh,Gambia,10297.0,Right hand Bat,Right arm Medium,
f7cb7c3a,1230636,,Abul Hossine Mohammad Farhad,Czech Republic,7324.0,Right hand Bat,Right arm Medium,
